county,year,litter,recycled,dumps,county_rd_miles,state_rd_miles
Van Buren,2023-2024,37260,2225,14,1251.75,0
Warren,2019-2020,41352,4354,19,89.05833333,0
Warren,2020-2021,23714,9031,37,53.5975,0
Warren,2021-2022,32144,3447,3,64.54166667,0
Warren,2022-2023,27270,1,0,47.35,0
Warren,2023-2024,26500,0,0,46.00166667,0
Washington,2019-2020,430315,0,21,360.0833333,478.5
Washington,2020-2021,186706,0,8,48.83333333,17.79166667
Washington,2021-2022,401805,1,7,68.45833333,25.25
Washington,2022-2023,391685,0,23,61.79166667,21.45833333
Washington,2023-2024,323501,0,12,66.125,24.06666667
Wayne,2019-2020,41371,24392,82,207.55,80.35833333
Wayne,2020-2021,52872,17029,503,124.5916667,41.875
Wayne,2021-2022,51590,9485,90,79.04166667,34.825
Wayne,2022-2023,70295,22929,83,68.325,26.26666667
Wayne,2023-2024,32085,21592,54,61.13333333,374.775
Weakley,2019-2020,45335,965,63,19.54916667,0
Weakley,2020-2021,42943,340,34,7.041666667,0
Weakley,2021-2022,32687,1030,36,10.4775,0
Weakley,2022-2023,42546,3145,28,21.05,0
Weakley,2023-2024,41581,1140,24,16.34333333,0
White,2019-2020,105597,0,44,200.2083333,43.44333333
White,2020-2021,98817,0,100,82.72083333,149.7683333
White,2021-2022,171885.85,0,31,189.1541667,301.6558333
White,2022-2023,151956.7,0,10,175.8741667,404.3083333
White,2023-2024,137235,0,2,126.2333333,322.15
Williamson,2019-2020,83544,5574,44,23.34166667,4.366666667
Williamson,2020-2021,66372,5223,40,10.90833333,2.283333333
Williamson,2021-2022,75265,8935,34,15.94166667,5.275
Williamson,2022-2023,67140,11743,36,18.74166667,8.275
Williamson,2023-2024,74420,12970,23,20.38333333,7.133333333
Wilson,2019-2020,241635,0,0,26.69166667,2.141666667
Wilson,2020-2021,448674,0,0,23.2,15.4
Wilson,2021-2022,360446,0,0,17.475,6.025
Wilson,2022-2023,356252,0,0,28.31666667,3.966666667
Wilson,2023-2024,287795,0,0,21.38333333,3.116666667
