county,year,litter,recycled,dumps,partners,volunteer_hours,county_road_miles,litter_per_mile,recycled_per_mile
Johnson,2023-2024,53360.0,0.0,19,0,0.0,41.0,1301.4634146341464,0.0
Knox,2019-2020,116608.0,44876.0,271,0,0.0,118.3,985.6973795435334,379.34065934065933
Knox,2020-2021,168711.0,33150.0,232,0,0.0,118.3,1426.1284868977177,280.2197802197802
Knox,2021-2022,157566.0,35908.0,197,0,0.0,118.3,1331.918850380389,303.53338968723585
Knox,2022-2023,121735.0,61062.0,260,0,0.0,118.3,1029.0363482671175,516.1622992392223
Knox,2023-2024,98454.0,48610.0,227,0,0.0,118.3,832.240067624683,410.9044801352494
Lake,2019-2020,37370.0,67370.0,0,0,0.0,282.0,132.5177304964539,238.90070921985816
Lake,2020-2021,41595.0,40745.0,0,0,0.0,282.0,147.5,144.48581560283688
Lake,2021-2022,41210.0,41210.0,0,0,0.0,282.0,146.13475177304966,146.13475177304966
Lake,2022-2023,37270.0,36055.0,0,0,0.0,282.0,132.1631205673759,127.85460992907801
Lake,2023-2024,43935.0,36915.0,0,0,0.0,282.0,155.79787234042553,130.90425531914894
Lauderdale,2019-2020,159730.0,6481.0,44,0,0.0,1343.0,118.93521965748324,4.825763216679077
Lauderdale,2020-2021,140895.0,6393.0,20,0,0.0,1343.0,104.91064780342516,4.7602382725242
Lauderdale,2021-2022,129723.5,6073.1,0,0,0.0,1343.0,96.59233060312732,4.522040208488459
Lauderdale,2022-2023,187751.0,7746.5,0,0,0.0,1343.0,139.79970215934475,5.768056589724497
Lauderdale,2023-2024,169908.0,7816.1,0,0,0.0,1343.0,126.51377513030529,5.8198808637379
Lawrence,2019-2020,63446.0,0.0,0,0,0.0,52.0,1220.1153846153845,0.0
Lawrence,2020-2021,51570.0,0.0,0,0,0.0,52.0,991.7307692307693,0.0
Lawrence,2021-2022,43166.0,0.0,0,0,0.0,52.0,830.1153846153846,0.0
Lawrence,2022-2023,40480.0,0.0,0,0,0.0,52.0,778.4615384615385,0.0
Lawrence,2023-2024,39000.0,0.0,0,0,0.0,52.0,750.0,0.0
Lewis,2019-2020,264815.0,304.0,16,0,0.0,7334.0,36.10785383146987,0.04145077720207254
Lewis,2020-2021,216770.0,239.0,57,0,0.0,7334.0,29.556858467412052,0.03258794655031361
Lewis,2021-2022,228300.0,0.0,302,0,0.0,7334.0,31.12898827379329,0.0
Lewis,2022-2023,369480.0,0.0,477,0,0.0,7334.0,50.37905644941369,0.0
Lewis,2023-2024,192119.0,0.0,2,0,0.0,7334.0,26.195664030542677,0.0
Lincoln,2019-2020,63890.0,0.0,30,0,0.0,78.5,813.8853503184713,0.0
Lincoln,2020-2021,0.0,0.0,0,0,0.0,78.5,0.0,0.0
Lincoln,2021-2022,81560.0,0.0,27,0,0.0,78.5,1038.9808917197452,0.0
Lincoln,2022-2023,141960.0,0.0,128,0,0.0,78.5,1808.407643312102,0.0
Lincoln,2023-2024,227600.0,0.0,102,0,0.0,78.5,2899.3630573248406,0.0
Loudon,2019-2020,183142.0,0.0,0,0,0.0,74.7,2451.7001338688083,0.0
Loudon,2020-2021,122498.0,0.0,0,0,0.0,74.7,1639.8661311914323,0.0
Loudon,2021-2022,125050.0,0.0,0,0,0.0,74.7,1674.0294511378847,0.0
Loudon,2022-2023,238542.0,130680.0,0,0,0.0,74.7,3193.333333333333,1749.3975903614457
Loudon,2023-2024,157116.0,0.0,0,0,0.0,74.7,2103.293172690763,0.0
Macon,2019-2020,43708.0,1348.0,0,0,0.0,16.0,2731.75,84.25
Macon,2020-2021,49300.0,4820.0,2,0,0.0,16.0,3081.25,301.25
Macon,2021-2022,71221.0,500.0,0,0,0.0,16.0,4451.3125,31.25
Macon,2022-2023,85729.0,0.0,1,0,0.0,16.0,5358.0625,0.0
Macon,2023-2024,75735.0,0.0,0,0,0.0,16.0,4733.4375,0.0
Madison,2019-2020,109160.0,108480.0,32,0,0.0,94.0,1161.276595744681,1154.0425531914893
Madison,2020-2021,139540.0,131540.0,14,0,0.0,94.0,1484.468085106383,1399.3617021276596
Madison,2021-2022,103010.0,103010.0,6,0,0.0,94.0,1095.8510638297873,1095.8510638297873
Madison,2022-2023,101081.0,37552.0,43,54,16.0,94.0,1075.3297872340424,399.48936170212767
Madison,2023-2024,75540.0,0.0,100,47,47.0,94.0,803.6170212765958,0.0
Marion,2019-2020,140900.0,0.0,1,29,18.0,1540.0,91.49350649350649,0.0
Marion,2020-2021,235480.0,0.0,0,9,15.0,1540.0,152.9090909090909,0.0
Marion,2021-2022,164640.0,0.0,0,9,10.0,1540.0,106.9090909090909,0.0
Marion,2022-2023,84280.0,0.0,10,12,12.0,1540.0,54.72727272727273,0.0
Marion,2023-2024,87060.0,0.0,0,12,12.0,1540.0,56.532467532467535,0.0
Marshall,2019-2020,12730.0,4498.0,313,0,0.0,84.0,151.54761904761904,53.54761904761905
Marshall,2020-2021,9923.0,3991.0,4,0,0.0,84.0,118.13095238095238,47.51190476190476
Marshall,2021-2022,9656.0,577.0,3,60,120.0,84.0,114.95238095238095,6.869047619047619
Marshall,2022-2023,10459.0,2075.0,8,0,0.0,84.0,124.51190476190476,24.702380952380953
Marshall,2023-2024,8315.93,977.0,31,0,0.0,84.0,98.99916666666667,11.630952380952381
Maury,2019-2020,157087.0,11582.0,11,45,204.0,186.13,843.9638962015796,62.22532638478483
Maury,2020-2021,193660.0,12.0,3,40,240.0,186.13,1040.4555955514963,0.06447106860796217
Maury,2021-2022,136028.0,4.0,2,50,350.0,186.13,730.8225433836566,0.02149035620265406
Maury,2022-2023,110363.0,1.0,1,0,0.0,186.13,592.9350453983775,0.005372589050663515
